#  curve of growth in (loggf logrw) pairs
 -6.236  -7.085
 -5.736  -6.591
 -5.236  -6.111
 -4.736  -5.668
 -4.236  -5.316
 -3.736  -5.094
 -3.236  -4.917
 -2.736  -4.774
 -2.236  -4.633
 -1.736  -4.507
 -1.236  -4.353
 -0.736  -4.151
 -0.236  -3.921
  0.264  -3.680
  0.764  -3.434
  1.264  -3.188
 -6.136  -6.986
 -5.636  -6.494
 -5.136  -6.018
 -4.636  -5.589
 -4.136  -5.261
 -3.636  -5.062
 -3.136  -4.887
 -2.636  -4.741
 -2.136  -4.608
 -1.636  -4.480
 -1.136  -4.316
 -0.636  -4.106
 -0.136  -3.874
  0.364  -3.631
  0.864  -3.385
  1.364  -3.140
 -6.036  -6.887
 -5.536  -6.397
 -5.036  -5.927
 -4.536  -5.513
 -4.036  -5.212
 -3.536  -5.031
 -3.036  -4.856
 -2.536  -4.718
 -2.036  -4.583
 -1.536  -4.452
 -1.036  -4.277
 -0.536  -4.061
 -0.036  -3.826
  0.464  -3.582
  0.964  -3.336
  1.464  -3.091
 -5.936  -6.788
 -5.436  -6.300
 -4.936  -5.838
 -4.436  -5.442
 -3.936  -5.169
 -3.436  -5.002
 -2.936  -4.825
 -2.436  -4.688
 -1.936  -4.558
 -1.436  -4.421
 -0.936  -4.236
 -0.436  -4.015
  0.064  -3.777
  0.564  -3.533
  1.064  -3.287
  1.564  -3.043
 -5.836  -6.689
 -5.336  -6.205
 -4.836  -5.752
 -4.336  -5.376
 -3.836  -5.130
 -3.336  -4.972
 -2.836  -4.807
 -2.336  -4.660
 -1.836  -4.533
 -1.336  -4.388
 -0.836  -4.194
 -0.336  -3.968
  0.164  -3.729
  0.664  -3.484
  1.164  -3.237
  1.664  -2.996
