star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD15612 5256  34  68 4.49 0.06 0.12 0.87 0.06 -0.11 0.02 0.05 259 33 0.6637 0.12757 0.830 0.024 19.44 1.26 -0.3921 0.0562 no
HD15906 4884  76  96 4.49 0.15 0.18 0.65 0.32 -0.01 0.04 0.06 258 33 0.5878 0.23162 0.778 0.020 22.20 1.39 -0.5724 0.0543 no
HD16008 5712  17  62 4.42 0.03 0.10 0.78 0.03 -0.09 0.01 0.05 259 34 0.9975 0.08843 0.942 0.036 17.45 1.07 -0.0007 0.0532 no
HD16280 4754  75  96 4.39 0.18 0.21 0.56 0.33 -0.19 0.04 0.06 258 32 0.3723 0.24443 0.711 0.012 31.38 1.33 -0.7176 0.0368 no
HD16382 5953  21  63 4.50 0.03 0.10 1.04 0.03  0.03 0.02 0.05 260 36 1.5439 0.05703 1.064 0.032 19.54 0.47  0.1807 0.0208 no
HD16536 5282  30  67 4.39 0.06 0.12 0.70 0.06 -0.08 0.02 0.05 255 35 0.6472 0.12803 0.850 0.027 19.87 1.33 -0.2945 0.0581 no
HD16548 5690  20  63 3.96 0.03 0.10 1.15 0.02  0.15 0.02 0.05 259 33 1.2686 0.06553 1.186 0.026 19.49 0.66  0.5569 0.0294 no
HD16905 4867  98 114 4.35 0.21 0.23 0.51 0.43  0.15 0.05 0.07 258 34 0.4554 0.27303 0.801 0.019 25.40 0.81 -0.5493 0.0276 no
HD17439 5721  18  62 4.44 0.02 0.10 0.87 0.02  0.08 0.01 0.05 260 35 0.9583 0.06025 0.996 0.034 17.98 0.72 -0.0354 0.0347 no
HD17548 6011  26  65 4.44 0.02 0.10 1.18 0.04 -0.53 0.02 0.05 238 33 1.1342 0.06191 0.880 0.020 18.19 0.72  0.1236 0.0343 no
HD18001 5772  24  64 4.44 0.03 0.10 0.80 0.03 -0.07 0.02 0.05 261 35 0.8145 0.08549 0.965 0.036 20.16 1.12 -0.0906 0.0482 no
HD18083 6144  43  73 4.70 0.04 0.11 1.33 0.06  0.03 0.03 0.06 252 36 1.8636 0.08362 1.112 0.024 18.52 0.67  0.1173 0.0314 no
HD18777 5058  67  89 4.39 0.12 0.16 0.57 0.20  0.01 0.04 0.06 259 35 0.5364 0.18201 0.819 0.022 19.45 0.87 -0.4513 0.0388 no
HD18822 5272  31  67 4.43 0.06 0.12 0.87 0.05 -0.07 0.02 0.05 259 35 0.7264 0.11297 0.853 0.027 18.09 0.89 -0.2877 0.0427 no
HD18838 5500  29  66 4.48 0.04 0.11 0.64 0.05 -0.17 0.02 0.05 261 34 0.7484 0.10403 0.870 0.030 18.21 1.15 -0.2512 0.0548 no
HD19230 5254  44  74 4.63 0.05 0.11 0.46 0.14 -0.57 0.03 0.06 260 33 0.8156 0.11307 0.740 0.021 20.25 1.13 -0.4433 0.0484 no
HD19423 5752  21  63 4.23 0.03 0.10 0.96 0.02 -0.09 0.02 0.05 259 35 1.0118 0.05686 0.960 0.017 19.06 0.45  0.2075 0.0205 no
HD19641 5806  14  61 4.39 0.02 0.10 0.94 0.01 -0.01 0.01 0.05 255 35 0.9992 0.05194 0.992 0.039 19.09 0.61  0.0583 0.0277 no
HD20492 4770 111 126 4.30 0.24 0.26 0.59 0.43  0.02 0.06 0.07 258 33 0.3702 0.31823 0.761 0.019 26.06 1.12 -0.6241 0.0373 no
HD20852 6813  70  92 4.76 0.06 0.12 2.34 0.22 -0.35 0.04 0.06 179 33 3.7049 0.10297 1.197 0.022 19.43 0.56  0.5353 0.0250 no
HD20868 4802 134 146 4.26 0.28 0.30 0.55 0.49  0.05 0.10 0.11 258 35 0.3586 0.38455 0.774 0.023 21.64 1.38 -0.5865 0.0553 yes
HD21132 6243  34  68 4.60 0.05 0.11 1.44 0.05 -0.37 0.02 0.05 234 35 1.8149 0.07908 0.992 0.022 18.17 0.41  0.2336 0.0195 no
