star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD72374 5767  19  62 4.35 0.02 0.10 0.90 0.02 -0.09 0.01 0.05 256 36 0.9583 0.05765 0.947 0.032 16.87 0.62  0.0685 0.0319 no
HD72659 5926  12  61 4.24 0.01 0.10 1.13 0.01 -0.02 0.01 0.05 257 34 1.1992 0.04597 1.060 0.028 20.07 0.75  0.3231 0.0324 yes
HD73267 5373  30  67 4.37 0.05 0.11 0.66 0.06  0.05 0.02 0.05 256 36 0.8372 0.10350 0.902 0.027 18.45 0.93 -0.1330 0.0437 yes
HD73583 4695  70  92 4.50 0.17 0.20 0.71 0.29 -0.21 0.04 0.06 257 33 0.5236 0.24141 0.707 0.010 28.56 1.49 -0.7012 0.0453 no
HD74698 5783  19  62 4.27 0.02 0.10 1.01 0.02  0.07 0.02 0.05 258 35 1.0622 0.04633 1.017 0.025 20.22 0.48  0.1980 0.0206 no
HD74957 5915  20  63 4.54 0.03 0.10 0.95 0.03 -0.18 0.01 0.05 256 35 1.4170 0.06271 0.966 0.036 19.42 0.60  0.0923 0.0268 no
HD75328 6003  29  66 4.46 0.03 0.10 1.05 0.04 -0.23 0.02 0.05 255 35 1.1896 0.06332 0.976 0.034 18.83 0.54  0.1220 0.0249 no
HD75530 5311  29  66 4.48 0.07 0.12 0.53 0.08 -0.54 0.02 0.05 257 33 0.9475 0.13592 0.768 0.020 17.86 1.16 -0.2095 0.0564 no
HD75881 6239  40  72 4.44 0.06 0.12 1.63 0.05  0.07 0.03 0.06 244 33 3.1335 0.09228 1.333 0.031 18.51 0.45  0.6296 0.0211 no
HD76188 5989  46  75 4.08 0.04 0.11 1.25 0.06 -0.44 0.03 0.06 248 33 1.2881 0.07025 1.014 0.015 18.03 0.35  0.5325 0.0168 no
HD76440 5764  20  63 4.43 0.03 0.10 0.89 0.02 -0.01 0.02 0.05 260 35 0.9700 0.07150 0.983 0.038 19.10 0.78 -0.0071 0.0354 no
HD78964 5195  51  78 4.50 0.09 0.13 0.91 0.10  0.10 0.03 0.06 256 36 1.3409 0.31126 0.869 0.028 12.17 2.86 -0.1170 0.2041 no
HD79601 5834  25  65 4.37 0.04 0.11 1.12 0.04 -0.60 0.02 0.05 245 33 1.3522 0.07886 0.850 0.015 17.70 0.64  0.2181 0.0314 no
HD81700 5882  21  63 4.53 0.02 0.10 0.98 0.02  0.12 0.01 0.05 257 35 1.1874 0.05779 1.057 0.027 17.60 0.64  0.0159 0.0315 no
HD81767 4978  77  97 4.46 0.15 0.18 0.68 0.24  0.05 0.04 0.06 256 35 0.6888 0.22607 0.818 0.022 21.63 1.22 -0.4404 0.0489 no
HD82114 5912  22  63 4.20 0.03 0.10 1.28 0.02  0.01 0.02 0.05 257 35 1.6359 0.05547 1.148 0.039 19.66 0.43  0.4939 0.0189 no
HD82783 5318  49  77 4.41 0.10 0.14 0.91 0.08  0.21 0.04 0.06 261 36 0.667  0.18243 0.908 0.028 17.28 1.32 -0.2896 0.0663 no
HD84305 5963  23  64 4.51 0.03 0.10 0.95 0.03 -0.23 0.02 0.05 258 36 1.2235 0.07117 0.967 0.038 18.65 0.74  0.0726 0.0344 no
HD84627 6113  29  66 4.50 0.03 0.10 1.10 0.04 -0.28 0.02 0.05 255 35 0.3078 0.19268 0.997 0.028 40.16 7.14 -0.4734 0.1544 no
HD85725 5986  26  65 3.95 0.04 0.11 1.54 0.02  0.15 0.02 0.05 244 36 2.0293 0.06861 1.505 0.039 18.57 0.45  0.8591 0.0210 no
HD86652 5934  19  62 4.47 0.02 0.10 1.01 0.02  0.13 0.01 0.05 252 34 1.1771 0.06253 1.085 0.028 18.80 0.80  0.0874 0.0369 no
HD87320 5639  35  69 4.41 0.05 0.11 0.95 0.05 -0.17 0.03 0.06 258 36 1.1348 0.10438 0.905 0.023 21.13 1.06  0.0429 0.0435 no
HD87838 6118  33  68 4.47 0.03 0.10 1.33 0.05 -0.40 0.02 0.05 241 34 1.2289 0.06473 0.945 0.029 21.25 0.62  0.1591 0.0253 no
HD88885 5361  22  63 4.46 0.03 0.10 0.77 0.04 -0.11 0.02 0.05 256 36 0.7879 0.08532 0.862 0.028 18.57 1.03 -0.2533 0.0481 no
HD89147 5310  33  68 4.45 0.05 0.11 0.76 0.06 -0.09 0.02 0.05 259 34 0.5743 0.13484 0.845 0.026 18.19 1.55 -0.3972 0.0740 no
HD89668 4811 140 152 4.45 0.28 0.30 0.63 0.45 -0.11 0.10 0.11 258 32 0.4245 0.36285 0.727 0.019 31.11 1.13 -0.6999 0.0315 no
HD89749 5443  21  63 4.48 0.03 0.10 0.61 0.04 -0.29 0.01 0.05 254 34 0.9028 0.09954 0.835 0.027 17.28 1.25 -0.1878 0.0628 no
HD89839 6314  24  64 4.49 0.06 0.12 1.35 0.03  0.04 0.02 0.05 250 36 1.7364 0.09368 1.207 0.024 17.65 0.55  0.3440 0.0270 yes
HD89920 4827  62  86 4.32 0.15 0.18 0.10 1.01 -0.03 0.02 0.05 256 34 0.5175 0.22377 0.779 0.019 20.14 1.19 -0.4781 0.0513 no
HD89965 5039  59  84 4.48 0.10 0.14 0.72 0.15 -0.09 0.03 0.06 258 35 0.6188 0.15781 0.794 0.021 22.79 0.98 -0.4858 0.0373 no
HD90081 5912  25  65 4.34 0.03 0.10 1.08 0.03 -0.20 0.02 0.05 256 35 0.9871 0.07367 0.955 0.030 18.42 0.77  0.1344 0.0363 no
HD90133 5064  54  80 4.42 0.10 0.14 0.37 0.21 -0.16 0.04 0.06 258 34 0.6306 0.16316 0.794 0.022 19.11 0.98 -0.4090 0.0445 no
HD90702 5760  25  65 4.56 0.03 0.10 1.04 0.03  0.20 0.02 0.05 257 36 1.2134 0.09017 1.038 0.029 19.15 1.16 -0.0410 0.0526 no
HD90722 5711  33  68 4.28 0.05 0.11 1.06 0.04  0.31 0.03 0.06 258 34 1.0817 0.09486 1.035 0.026 19.97 0.80  0.1741 0.0347 no
HD90926 5538  33  68 4.35 0.05 0.11 0.80 0.04  0.13 0.03 0.06 257 36 0.8169 0.09108 0.954 0.034 19.52 0.69 -0.0712 0.0307 no
HD90936 5928  27  65 4.48 0.03 0.10 1.04 0.03  0.03 0.02 0.05 254 35 1.1427 0.07450 1.051 0.032 17.81 0.75  0.0627 0.0365 no
HD91267 4928  78  98 4.48 0.16 0.19 0.26 0.68 -0.06 0.03 0.06 261 34 0.6533 0.23114 0.785 0.020 20.20 1.01 -0.5009 0.0434 no
HD91345 5658  39  71 4.52 0.04 0.11 0.72 0.12 -1.04 0.03 0.06 225 31 0.9668 0.09827 0.745 0.016 16.71 0.89 -0.1307 0.0462 no
HD91379 6164  46  75 4.41 0.04 0.11 0.98 0.07 -0.29 0.03 0.06 249 35 0.8840 0.09125 1.010 0.033 18.85 0.83  0.0891 0.0382 no
HD92547 6020  33  68 4.45 0.03 0.10 1.14 0.05 -0.37 0.02 0.06 250 36 1.2306 0.07975 0.920 0.024 17.93 0.83  0.1517 0.0402 no
HD93351 5408  25  65 4.41 0.05 0.11 0.57 0.05 -0.23 0.02 0.05 256 35 0.8073 0.11622 0.847 0.029 17.47 1.17 -0.1775 0.0581 no
HD93745 6065  31  67 4.34 0.05 0.11 1.33 0.03  0.12 0.02 0.06 259 35 1.8872 0.09038 1.219 0.036 16.83 0.61  0.4603 0.0314 no
HD93932 5950  25  65 4.30 0.03 0.10 1.16 0.02  0.05 0.02 0.05 258 35 1.3274 0.06390 1.091 0.026 19.60 0.60  0.3142 0.0265 no
HD94771 5631  21  63 4.03 0.03 0.10 1.10 0.02  0.22 0.02 0.05 257 35 1.1654 0.06588 1.110 0.021 18.91 0.64  0.4320 0.0293 no
HD94964 6139  35  69 4.55 0.04 0.11 1.26 0.05 -0.07 0.03 0.06 251 35 1.5967 0.07267 1.097 0.033 19.10 0.50  0.1988 0.0227 no
HD95533 5366  41  72 4.36 0.06 0.12 0.63 0.07  0.16 0.03 0.06 257 35 0.6798 0.13550 0.917 0.030 18.02 1.29 -0.2157 0.0621 no
HD95542 5984  15  61 4.52 0.03 0.10 1.01 0.02 -0.04 0.01 0.05 257 35 1.1609 0.06174 1.045 0.031 19.03 0.60  0.0459 0.0273 no
HD95922 6293  37  70 4.63 0.03 0.10 1.23 0.05 -0.06 0.02 0.06 251 36 2.3145 0.07624 1.163 0.025 16.89 0.70  0.3230 0.0359 no
HD96116 5832  21  63 4.52 0.03 0.10 0.96 0.03 -0.01 0.02 0.05 260 35 1.1558 0.07416 1.005 0.036 16.96 0.74 -0.0006 0.0378 no
HD96276 6080  23  64 4.49 0.03 0.10 1.12 0.03 -0.02 0.02 0.05 259 35 1.4369 0.07714 1.093 0.032 17.13 0.80  0.1962 0.0405 no
HD96290 6219  21  63 4.56 0.03 0.10 1.21 0.02  0.03 0.01 0.05 256 35 1.6641 0.05280 1.155 0.024 19.50 0.38  0.2292 0.0169 no
HD96673 4788  88 106 4.38 0.20 0.22 0.55 0.43 -0.13 0.05 0.07 259 32 0.4153 0.27429 0.734 0.018 24.98 1.21 -0.6477 0.0420 no
HD97320 6162  52  79 4.57 0.04 0.11 1.50 0.17 -1.05 0.03 0.06 183 31 1.3366 0.08216 0.814 0.014 18.36 0.58  0.1080 0.0274 no
HD98284 5913  39  71 4.52 0.04 0.11 1.18 0.09 -0.84 0.03 0.06 220 32 1.0685 0.08963 0.806 0.018 20.04 0.88 -0.0107 0.0381 no
HD100289 5483  33  68 4.42 0.05 0.11 0.70 0.05  0.03 0.02 0.06 256 35 0.7381 0.10661 0.915 0.030 18.83 1.00 -0.2025 0.0461 no
HD101339 5731  18  62 4.48 0.02 0.10 0.88 0.02 -0.10 0.01 0.05 255 35 0.9850 0.08801 0.946 0.037 16.94 1.22 -0.0604 0.0625 no
HD101367 5615  27  65 4.38 0.05 0.11 0.91 0.04  0.29 0.02 0.05 257 36 1.2178 0.10460 0.994 0.028 15.97 0.85  0.0961 0.0462 no
HD101612 6281  43  73 4.41 0.03 0.10 1.17 0.07 -0.36 0.03 0.06 242 34 1.4458 0.07014 1.030 0.022 18.78 0.61  0.3354 0.0282 no
HD101644 5678  18  62 4.58 0.02 0.10 0.72 0.04 -0.56 0.01 0.05 253 34 0.9909 0.10338 0.818 0.027 15.84 1.42 -0.1739 0.0778 no
HD101650 4626 318 323 4.29 0.66 0.67 0.11 3.77 -0.45 0.10 0.11 257 28 0.1596 0.82928 0.700 0.000 28.21 1.48 -1.0328 0.0455 no
HD102136 5349  24  64 4.43 0.04 0.11 0.75 0.04 -0.09 0.01 0.05 257 34 0.6073 0.10172 0.855 0.026 19.01 1.18 -0.3402 0.0539 no
HD102300 5987  32  68 4.23 0.06 0.12 1.14 0.04 -0.31 0.02 0.06 250 34 1.1389 0.09495 0.974 0.030 17.95 0.53  0.3285 0.0256 no
HD102843 5432  32  68 4.35 0.05 0.11 0.79 0.05  0.16 0.02 0.05 256 36 0.5044 0.11753 0.923 0.028 19.11 1.26 -0.3141 0.0572 no
HD103197 5250  60  84 4.45 0.11 0.15 0.84 0.14  0.22 0.04 0.07 257 36 0.6933 0.19504 0.893 0.027 18.82 1.41 -0.3352 0.0650 yes
HD103720 5017  65  88 4.43 0.12 0.16 0.90 0.14 -0.02 0.04 0.06 260 35 0.4810 0.18599 0.794 0.021 24.05 1.20 -0.5528 0.0433 no
HD103891 6072  20  63 4.05 0.03 0.10 1.50 0.02 -0.19 0.01 0.05 252 35 2.0396 0.05856 1.274 0.027 17.50 0.46  0.7860 0.0228 no
HD104760 5953  18  62 4.43 0.03 0.10 1.02 0.02  0.12 0.01 0.05 256 36 1.2407 0.10251 1.096 0.029 18.34 1.42  0.1558 0.0672 no
HD105779 5792  16  62 4.51 0.03 0.10 0.91 0.02 -0.25 0.01 0.05 255 34 0.9107 0.08273 0.917 0.035 19.21 1.06 -0.1060 0.0479 no
HD105938 6208  25  65 4.27 0.04 0.11 1.60 0.03  0.03 0.02 0.05 252 35 2.3591 0.07211 1.338 0.042 17.99 0.52  0.6677 0.0251 no
HD106290 6012  23  64 4.55 0.03 0.10 1.03 0.03  0.13 0.02 0.05 258 34 1.2572 0.08181 1.102 0.025 17.31 0.90  0.0587 0.0451 no
HD106589 5597  21  63 4.37 0.04 0.11 0.67 0.03 -0.23 0.02 0.05 260 35 0.8883 0.10539 0.882 0.030 15.79 1.07 -0.0364 0.0588 no
HD107094 5564  17  62 4.54 0.02 0.10 0.75 0.03 -0.51 0.01 0.05 257 33 0.8898 0.08176 0.809 0.026 17.85 1.16 -0.2159 0.0564 no
HD108063 6081  49  77 4.11 0.06 0.12 1.54 0.04  0.55 0.04 0.06 255 35 3.2273 0.09139 1.580 0.034 18.53 0.37  0.9279 0.0173 no
HD108341 5122  52  79 4.45 0.10 0.14 0.64 0.15  0.04 0.04 0.06 257 34 0.7035 0.15765 0.843 0.024 20.23 0.93 -0.3717 0.0399 no
HD108768 5633  23  64 4.45 0.03 0.10 0.86 0.03  0.14 0.02 0.05 254 35 0.8381 0.09838 0.982 0.032 17.86 1.26 -0.1305 0.0612 no
HD108935 4724 159 169 4.30 0.36 0.37 0.55 0.63  0.02 0.07 0.09 257 33 0.3214 0.47513 0.743 0.020 26.84 1.72 -0.7025 0.0556 no
HD109098 5888  16  62 4.14 0.02 0.10 1.24 0.02  0.06 0.01 0.05 257 34 1.2940 0.04929 1.138 0.039 18.74 0.53  0.4450 0.0245 no
HD109271 5783  18  62 4.28 0.02 0.10 0.97 0.02  0.10 0.01 0.05 255 35 1.3311 0.06560 1.047 0.024 16.21 0.75  0.2860 0.0401 no
HD109368 4651  89 107 4.36 0.21 0.23 0.67 0.38 -0.23 0.04 0.07 259 32 0.3164 0.28963 0.700 0.003 30.54 1.62 -0.7962 0.0460 no
HD109723 5647  29  66 4.47 0.06 0.12 0.88 0.04 -0.04 0.02 0.06 254 33 0.7416 0.12252 0.934 0.033 19.13 1.18 -0.1993 0.0535 no
HD109988 5193  51  78 4.46 0.10 0.14 0.81 0.12  0.14 0.03 0.06 259 36 0.8680 0.15764 0.882 0.026 22.09 1.03 -0.2665 0.0405 no
HD110291 5480  25  65 4.38 0.04 0.11 0.69 0.04 -0.02 0.02 0.05 257 35 0.6647 0.10427 0.904 0.031 18.04 1.17 -0.2090 0.0563 no
HD110557 5267  29  66 4.36 0.05 0.11 0.71 0.06 -0.06 0.02 0.05 255 35 0.4704 0.13968 0.843 0.025 18.11 1.67 -0.4080 0.0800 no
HD110668 5850  26  65 4.45 0.03 0.10 0.98 0.03  0.17 0.02 0.05 258 35 1.1853 0.07564 1.071 0.031 18.10 0.79  0.0856 0.0379 no
HD111564 6004  14  61 4.37 0.02 0.10 1.13 0.01  0.07 0.01 0.05 260 35 1.5643 0.05840 1.122 0.028 18.46 0.73  0.3312 0.0343 no
HD112100 5081  51  78 4.44 0.10 0.14 0.50 0.15 -0.16 0.03 0.06 256 35 0.5454 0.17301 0.785 0.021 18.47 1.18 -0.4862 0.0554 no
HD112283 6433  71  92 4.84 0.05 0.11 1.86 0.15 -0.13 0.05 0.07 242 35 2.8771 0.09323 1.148 0.028 19.58 0.54  0.2458 0.0239 no
HD113101 5456  26  65 4.37 0.05 0.11 0.66 0.04 -0.07 0.02 0.05 254 34 0.7358 0.11148 0.893 0.031 18.29 1.12 -0.1625 0.0531 no
HD113513 5751  52  79 4.54 0.08 0.13 0.94 0.07  0.17 0.04 0.06 254 35 0.9716 0.12623 1.010 0.025 18.54 0.65 -0.1203 0.0304 no
HD113569 4994  47  76 4.41 0.09 0.13 0.41 0.17 -0.22 0.03 0.06 255 33 0.5040 0.15641 0.760 0.019 20.85 1.20 -0.5205 0.0499 no
HD114076 5069  52  79 4.32 0.09 0.13 0.04 0.47 -0.47 0.04 0.06 259 33 0.5780 0.16297 0.742 0.018 19.72 1.25 -0.3451 0.0550 no
HD114561 5829  21  63 4.50 0.03 0.10 0.88 0.03 -0.07 0.02 0.05 255 35 1.0170 0.08265 0.985 0.037 19.85 1.06 -0.0371 0.0463 no
HD115341 6058  22  63 4.55 0.04 0.11 1.10 0.03 -0.01 0.02 0.05 259 35 1.5243 0.07718 1.087 0.032 20.26 0.72  0.1555 0.0308 no
HD115499 5542  36  69 4.45 0.05 0.11 0.95 0.05  0.07 0.03 0.06 258 35 0.7943 0.10594 0.937 0.032 16.74 0.86 -0.1821 0.0446 no
HD115773 6312  26  65 4.23 0.03 0.10 1.57 0.03 -0.08 0.02 0.05 252 35 2.1626 0.05956 1.323 0.046 17.84 0.46  0.6988 0.0223 no
HD115902 5705  24  64 4.39 0.05 0.11 0.86 0.03 -0.01 0.02 0.05 260 35 0.8747 0.12299 0.963 0.036 16.93 1.28 -0.0299 0.0656 no
HD116259 5700  16  62 4.21 0.02 0.10 0.99 0.02  0.11 0.01 0.05 260 36 1.1014 0.05898 1.016 0.022 16.81 0.66  0.2486 0.0341 no
HD116284 5213  26  65 3.87 0.04 0.11 0.83 0.03 -0.01 0.02 0.05 260 36 1.3099 0.06940 1.149 0.030 19.28 0.46  0.5088 0.0207 no
HD116410 5939  24  64 4.43 0.03 0.10 1.07 0.03  0.23 0.02 0.05 260 33 1.1352 0.08915 1.111 0.027 18.33 1.10  0.1131 0.0521 no
HD116883 4902  66  89 4.36 0.13 0.16 0.52 0.21 -0.20 0.04 0.06 258 33 0.4793 0.20535 0.752 0.019 22.30 1.33 -0.5246 0.0518 no
HD116963 4735 111 126 4.43 0.25 0.27 0.51 0.52 -0.06 0.06 0.08 259 33 0.4173 0.34274 0.730 0.018 25.45 1.51 -0.7150 0.0515 no
HD117359 5246  37  70 4.43 0.06 0.12 0.68 0.07 -0.13 0.02 0.06 259 35 0.7906 0.14156 0.834 0.026 17.18 1.37 -0.2594 0.0692 no
HD117938 4738  91 109 4.27 0.20 0.22 0.36 0.44 -0.13 0.05 0.07 256 33 0.3708 0.27853 0.735 0.018 28.47 1.47 -0.6051 0.0448 no
HD118466 5049  92 109 4.34 0.18 0.21 0.49 0.30  0.20 0.07 0.09 256 35 0.6365 0.26753 0.857 0.024 20.00 1.28 -0.3301 0.0555 no
HD118563 5477  27  65 4.45 0.04 0.11 0.68 0.05 -0.04 0.02 0.05 257 35 0.6734 0.08905 0.892 0.029 19.10 0.89 -0.2743 0.0404 no
HD119173 5779  44  74 4.26 0.04 0.11 0.52 0.11 -0.62 0.03 0.06 249 34 0.4766 0.10370 0.823 0.029 18.43 1.07 -0.1411 0.0504 no
HD119291 4611 115 129 4.22 0.28 0.30 0.59 0.47 -0.10 0.05 0.07 256 32 0.2191 0.34902 0.702 0.005 41.44 1.20 -0.8309 0.0251 no
HD119503 4885  80 100 4.40 0.16 0.19 0.83 0.22 -0.04 0.05 0.07 258 33 0.4771 0.23851 0.773 0.020 24.23 1.39 -0.5726 0.0498 no
HD119629 6250  29  66 4.17 0.03 0.10 1.73 0.04 -0.17 0.02 0.05 247 35 2.0764 0.06341 1.302 0.046 17.14 0.50  0.7240 0.0253 no
HD120344 5623  20  63 4.42 0.03 0.10 0.65 0.03 -0.19 0.01 0.05 259 34 0.8540 0.10045 0.896 0.033 17.57 1.30 -0.0954 0.0642 no
HD120362 5517  30  67 4.51 0.07 0.12 1.05 0.05  0.10 0.02 0.05 256 35 0.7576 0.11941 0.929 0.028 17.83 0.82 -0.2705 0.0399 no
HD120491 4680  75  96 4.49 0.19 0.21 0.40 0.45 -0.34 0.05 0.07 258 29 0.3365 0.25032 0.700 0.000 37.97 1.41 -0.8888 0.0322 no
HD122308 5253  30  67 4.44 0.05 0.11 0.59 0.06 -0.32 0.02 0.05 258 33 0.5594 0.11589 0.783 0.022 18.01 1.16 -0.4173 0.0559 no
HD122474 5716  23  64 4.37 0.03 0.10 0.88 0.03  0.13 0.02 0.05 259 35 0.8811 0.10717 1.008 0.034 16.71 1.35 -0.0033 0.0701 no
HD123319 5619  22  63 4.56 0.04 0.11 0.67 0.04 -0.52 0.02 0.05 254 34 0.8086 0.10347 0.814 0.027 18.09 1.18 -0.2604 0.0566 no
HD123619 6166  41  72 4.45 0.03 0.10 1.38 0.06 -0.32 0.03 0.06 245 33 1.6401 0.09143 1.012 0.031 17.25 0.99  0.3180 0.0498 no
HD123651 5926  30  67 4.55 0.03 0.10 1.05 0.05 -0.48 0.02 0.05 246 33 1.4050 0.08332 0.877 0.022 18.93 0.97  0.0819 0.0445 no
HD125271 4779  62  86 4.33 0.15 0.18 0.36 0.32 -0.22 0.04 0.06 256 33 0.3407 0.20639 0.714 0.013 27.31 1.06 -0.6870 0.0337 no
HD125522 4839  38  71 4.45 0.11 0.15 0.40 0.18 -0.46 0.02 0.05 256 33 0.4113 0.18799 0.701 0.004 22.56 1.67 -0.7036 0.0642 no
HD125595 4691 155 166 4.17 0.36 0.37 0.32 1.02  0.08 0.11 0.12 257 34 0.2831 0.44362 0.758 0.019 35.77 1.04 -0.6397 0.0252 no
HD125612 5913  17  62 4.43 0.03 0.10 1.02 0.02  0.24 0.01 0.05 257 35 1.0152 0.08631 1.096 0.026 18.45 1.09  0.0570 0.0513 yes
HD126681 5561  32  68 4.71 0.03 0.10 0.71 0.11 -1.14 0.02 0.06 206 29 0.8273 0.08626 0.715 0.016 21.04 1.12 -0.4184 0.0462 no
HD126793 5910  31  67 4.46 0.03 0.10 1.26 0.06 -0.71 0.02 0.06 233 34 1.1855 0.08460 0.825 0.013 18.53 0.97  0.0934 0.0454 no
HD126803 5477  23  64 4.50 0.04 0.11 0.50 0.06 -0.61 0.02 0.05 258 33 0.9176 0.10210 0.779 0.022 19.18 1.21 -0.1899 0.0547 no
HD126829 4726  81 100 4.51 0.19 0.21 0.82 0.28 -0.14 0.03 0.06 256 32 0.5104 0.27609 0.717 0.015 26.96 1.74 -0.7108 0.0560 no
HD127124 5079  53  80 4.43 0.10 0.14 0.82 0.12 -0.04 0.03 0.06 259 35 0.6826 0.18276 0.819 0.023 19.11 1.42 -0.3795 0.0645 no
HD128113 4922  47  76 4.28 0.09 0.13 0.35 0.26 -0.17 0.03 0.06 258 33 0.4901 0.17345 0.766 0.019 20.68 1.59 -0.4279 0.0667 no
HD128431 5429  21  63 4.43 0.03 0.10 0.61 0.04 -0.34 0.02 0.05 259 36 0.7394 0.10078 0.818 0.026 17.90 1.32 -0.2289 0.0640 no
HD128571 6159  47  76 4.40 0.02 0.10 1.23 0.07 -0.37 0.03 0.06 244 33 1.3919 0.06941 0.984 0.028 17.32 0.72  0.2948 0.0361 no
HD129191 5832  22  63 4.39 0.03 0.10 0.99 0.02  0.24 0.02 0.05 260 35 1.0870 0.08930 1.076 0.030 18.61 1.13  0.1027 0.0527 no
HD129829 6196  43  73 4.66 0.04 0.11 1.30 0.06 -0.16 0.03 0.06 253 35 1.6830 0.09744 1.076 0.030 17.43 0.91  0.1277 0.0453 no
HD130989 6414  40  72 4.27 0.05 0.11 1.85 0.06 -0.23 0.03 0.06 228 34 2.3518 0.08261 1.285 0.049 18.77 0.47  0.7231 0.0217 no
HD131183 5670  17  62 4.24 0.02 0.10 0.97 0.02  0.09 0.01 0.05 257 35 1.1210 0.05814 0.994 0.021 18.99 0.72  0.2171 0.0329 no
HD131218 5797  31  67 4.55 0.04 0.11 0.96 0.04 -0.06 0.02 0.05 260 36 0.9803 0.09085 0.972 0.034 18.82 0.90 -0.1126 0.0415 no
HD131565 5612  21  63 4.47 0.05 0.11 0.72 0.04 -0.16 0.02 0.05 259 36 1.0114 0.10446 0.903 0.034 19.02 1.05 -0.0753 0.0479 no
HD131664 5901  26  65 4.50 0.03 0.10 1.04 0.03  0.31 0.02 0.05 257 35 1.5327 0.07335 1.104 0.028 17.77 0.73  0.1623 0.0356 yes
HD132411 4673  73  94 4.32 0.17 0.20 0.31 0.74 -0.29 0.08 0.09 257 33 0.3660 0.25365 0.704 0.009 23.14 1.50 -0.6849 0.0563 no
HD132569 5026  48  76 4.49 0.08 0.13 0.59 0.15 -0.26 0.03 0.06 256 34 0.5336 0.16512 0.751 0.019 20.81 1.64 -0.5646 0.0684 no
HD133633 5571  19  62 4.48 0.04 0.11 0.69 0.04 -0.45 0.01 0.05 257 34 1.1045 0.10546 0.825 0.024 17.51 1.20 -0.0598 0.0595 no
HD134702 5782  24  64 4.50 0.05 0.11 0.74 0.04 -0.04 0.02 0.05 259 36 1.0385 0.10613 0.979 0.037 20.60 1.16 -0.0420 0.0489 no
HD134929 5330  35  69 4.36 0.07 0.12 0.79 0.06  0.07 0.03 0.06 257 34 1.2216 0.39056 0.896 0.041 17.00 6.05  0.0270 0.3091 no
HD135468 6417  39  71 4.25 0.05 0.11 1.82 0.05 -0.02 0.03 0.06 239 36 2.8018 0.08223 1.453 0.027 17.66 0.44  0.8199 0.0216 no
HD135625 6003  14  61 4.32 0.04 0.11 1.16 0.01  0.12 0.01 0.05 258 35 1.5169 0.08844 1.156 0.032 16.83 0.86  0.3676 0.0443 no
HD137010 4797 106 121 4.41 0.20 0.22 0.48 0.53 -0.22 0.06 0.08 258 31 0.2983 0.31573 0.709 0.013 26.65 2.36 -0.8181 0.0769 no
HD137676 5253  18  62 3.93 0.03 0.10 0.74 0.03 -0.53 0.01 0.05 258 33 1.2042 0.07462 0.931 0.012 17.30 0.77  0.4255 0.0386 no
HD138799 5224  41  72 4.36 0.08 0.13 0.71 0.09  0.02 0.03 0.06 258 34 0.7278 0.15467 0.865 0.026 19.37 1.36 -0.2327 0.0609 no
HD138914 4983  52  79 4.38 0.10 0.14 0.66 0.12 -0.12 0.03 0.06 256 33 0.5517 0.17907 0.783 0.020 21.27 1.49 -0.4551 0.0608 no
HD139189 5075  69  91 4.41 0.12 0.16 0.78 0.15  0.02 0.04 0.06 258 35 0.6319 0.21891 0.828 0.024 20.00 1.73 -0.3944 0.0751 no
HD139332 4899  41  72 4.30 0.12 0.16 0.04 3.12  0.00 0.02 0.05 257 34 0.3899 0.19203 0.785 0.020 22.08 1.46 -0.5553 0.0574 no
HD139536 5209  92 109 4.71 0.17 0.20 1.13 0.20 -0.04 0.05 0.07 259 32 1.0624 0.30181 0.836 0.026 15.33 1.78 -0.4235 0.1008 no
HD139590 6200  20  63 4.49 0.03 0.10 1.31 0.02  0.13 0.01 0.05 257 35 2.0807 0.07146 1.218 0.022 17.93 0.74  0.3909 0.0358 no
HD139710 5123  40  72 4.41 0.08 0.13 0.90 0.07 -0.08 0.03 0.06 255 32 0.4587 0.17071 0.806 0.022 20.73 1.84 -0.5170 0.0770 no
HD139879 6203  38  71 4.61 0.05 0.11 1.25 0.04  0.30 0.03 0.06 256 36 2.2755 0.09834 1.219 0.022 15.91 0.69  0.3106 0.0376 no
HD140785 5756  21  63 4.12 0.03 0.10 1.09 0.02 -0.05 0.02 0.05 257 35 1.4784 0.06408 1.087 0.020 17.54 0.56  0.4834 0.0277 no
HD141128 6758  48  76 4.67 0.06 0.12 1.65 0.07  0.07 0.03 0.06 243 36 2.6507 0.10060 1.342 0.019 20.31 0.66  0.4658 0.0282 no
HD141597 6285  53  80 4.38 0.05 0.11 1.23 0.08 -0.40 0.04 0.06 238 34 1.5063 0.10783 1.030 0.031 18.33 0.91  0.3843 0.0431 no
HD141598 5593  20  63 4.37 0.04 0.11 0.75 0.03 -0.10 0.01 0.05 257 35 0.8869 0.10177 0.914 0.033 17.20 1.10 -0.0383 0.0555 no
HD141624 5871  30  67 4.40 0.03 0.10 1.01 0.04 -0.38 0.02 0.05 252 34 0.9346 0.07724 0.882 0.025 20.16 0.89  0.0386 0.0383 no
HD142879 5707  22  63 4.51 0.03 0.10 0.74 0.04 -0.39 0.02 0.05 256 34 0.8366 0.06979 0.853 0.030 19.95 0.76 -0.1686 0.0330 no
