ALL abundances NOT listed below differ from solar by   0.00 dex
Linelist with cut at 2.99sigma, since 3.00 sigma doesn't work                   
Teff= 6423   log g= 4.83                              vt= 2.60 M/H= 0.00        

Abundance Results for Species Fe I         (input abundance =   7.470)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
 15524.311   26.00000   5.790  -1.445     5.90    -6.420     7.351   -0.123
 15527.209   26.00000   6.320  -0.977     6.30    -6.392     7.352   -0.122
 15531.752   26.00000   5.640  -0.566    55.00    -5.451     7.411   -0.063
 15534.245   26.00000   5.640  -0.344    67.90    -5.359     7.308   -0.166
 15542.079   26.00000   5.640  -0.537    50.30    -5.490     7.333   -0.141
 15550.439   26.00000   6.320  -0.473    25.70    -5.782     7.486    0.012
 15551.435   26.00000   6.350  -0.414    30.70    -5.705     7.536    0.062
 15560.786   26.00000   6.350  -0.566    30.40    -5.709     7.682    0.208
 15565.230   26.00000   6.320  -0.959     5.40    -6.460     7.264   -0.210
 15566.727   26.00000   6.350  -0.543    18.90    -5.916     7.436   -0.038
 15571.121   26.00000   5.880  -1.621     2.50    -6.794     7.220   -0.254
 15579.080   26.00000   6.320  -1.088     5.80    -6.429     7.424   -0.050
 15588.262   26.00000   6.370   0.128    65.50    -5.377     7.389   -0.086
 15590.049   26.00000   6.240  -0.613    32.30    -5.684     7.668    0.194
 15591.493   26.00000   6.240   0.504   143.60    -5.036     7.395   -0.079
 15593.740   26.00000   5.030  -1.809    14.60    -6.029     7.480    0.006
 15598.871   26.00000   6.240  -0.883    14.60    -6.029     7.565    0.091
 15611.146   26.00000   3.420  -2.980    31.40    -5.697     7.631    0.157
 15631.948   26.00000   5.350  -0.170   132.60    -5.071     7.340   -0.134
 15648.510   26.00000   5.430  -0.730    57.20    -5.437     7.415   -0.059
 15652.874   26.00000   6.250  -0.170    46.10    -5.531     7.406   -0.068
 15662.016   26.00000   5.830   0.097   108.40    -5.160     7.301   -0.173
 15670.127   26.00000   6.210  -1.070    17.00    -5.965     7.793    0.319
 15671.869   26.00000   5.920  -1.340     5.40    -6.463     7.306   -0.168
 15682.516   26.00000   6.370  -0.520    34.60    -5.656     7.707    0.233
 15691.855   26.00000   6.250   0.136   147.30    -5.027     7.780    0.306
 15751.710   26.00000   6.360  -1.041    11.10    -6.152     7.688    0.214
 15821.712   26.00000   5.640  -0.941    59.80    -5.423     7.812    0.338
 15835.167   26.00000   6.300   0.376   124.80    -5.103     7.451   -0.023
 15845.219   26.00000   5.980  -1.223     8.00    -6.297     7.404   -0.070
 15863.712   26.00000   6.260  -0.058    60.20    -5.421     7.428   -0.046
 15864.649   26.00000   6.360  -0.965    18.70    -5.929     7.843    0.369
 15878.444   26.00000   5.620  -0.648    59.90    -5.423     7.501    0.027
 15891.162   26.00000   6.310  -0.555    16.20    -5.992     7.325   -0.149
 15901.521   26.00000   5.920  -0.566    34.50    -5.664     7.375   -0.099
 15906.044   26.00000   5.620  -0.201    92.50    -5.235     7.311   -0.163
 15911.305   26.00000   5.870  -0.178    76.20    -5.320     7.369   -0.105
 15928.161   26.00000   5.950  -0.859    18.00    -5.947     7.380   -0.094
 15929.475   26.00000   6.310  -0.613    17.80    -5.952     7.425   -0.049
 15934.020   26.00000   6.310  -0.438    28.60    -5.746     7.471   -0.003
 15940.920   26.00000   5.810  -1.234     6.10    -6.417     7.147   -0.327
 15941.851   26.00000   6.360  -0.127    53.00    -5.478     7.504    0.030
 15964.867   26.00000   5.920  -0.178    70.70    -5.354     7.363   -0.112
 15980.728   26.00000   6.260   0.520   164.90    -4.986     7.464   -0.010
 16037.821   26.00000   6.260  -0.120    55.00    -5.465     7.433   -0.041
 16040.657   26.00000   5.870   0.054   107.30    -5.175     7.343   -0.132
 16071.399   26.00000   6.270  -0.120    72.70    -5.345     7.589    0.115
 16072.244   26.00000   6.350  -0.508    26.30    -5.786     7.527    0.053
 16100.284   26.00000   6.350  -0.148    38.10    -5.626     7.344   -0.130
 16153.247   26.00000   5.350  -0.637    70.60    -5.359     7.347   -0.127
 16156.560   26.00000   5.960  -0.590    35.00    -5.664     7.427   -0.047
 16165.032   26.00000   6.320   0.459   153.20    -5.023     7.501    0.027
 16171.933   26.00000   6.380  -0.467    24.40    -5.821     7.471   -0.003
 16174.978   26.00000   6.380   0.026    67.90    -5.377     7.485    0.011
 16177.994   26.00000   6.380  -0.648    30.00    -5.732     7.750    0.276
 16179.585   26.00000   6.320  -0.047    66.70    -5.385     7.503    0.029
 16180.903   26.00000   6.280  -0.162    75.30    -5.332     7.653    0.179
 16195.063   26.00000   6.390   0.258    63.50    -5.407     7.225   -0.249
 16198.503   26.00000   5.410  -0.684    84.70    -5.282     7.552    0.078
 16203.331   26.00000   6.320  -1.029    17.90    -5.957     7.840    0.366
 16204.255   26.00000   6.320   0.072    77.60    -5.320     7.466   -0.008
 16207.747   26.00000   6.320   0.247   102.90    -5.197     7.454   -0.020
 16213.004   26.00000   6.320  -0.613    14.30    -6.055     7.321   -0.153
 16213.540   26.00000   6.280  -0.003    75.20    -5.334     7.493    0.018
 16225.621   26.00000   6.380  -0.041    49.50    -5.516     7.387   -0.087
 16227.154   26.00000   6.240  -1.018     8.00    -6.307     7.398   -0.076
 16231.649   26.00000   6.380   0.314    94.30    -5.236     7.378   -0.096
 16235.969   26.00000   5.920  -0.391    54.50    -5.474     7.420   -0.054
 16240.872   26.00000   6.320  -1.152    14.90    -6.037     7.878    0.404
 16245.765   26.00000   6.320  -0.906    12.50    -6.114     7.552    0.078
 16246.462   26.00000   6.280  -0.291    44.40    -5.563     7.502    0.028
 16252.553   26.00000   6.320  -0.543    26.60    -5.786     7.537    0.063
 16272.470   26.00000   6.280  -0.859    14.20    -6.059     7.529    0.055
 16284.772   26.00000   6.400   0.045    64.00    -5.406     7.447   -0.027
 16292.843   26.00000   5.920  -0.578    39.00    -5.621     7.432   -0.042
 16331.527   26.00000   5.980  -0.613    35.20    -5.666     7.464   -0.010
 16333.141   26.00000   5.640  -1.504    12.50    -6.116     7.584    0.110
 16345.497   26.00000   6.470  -0.742    14.30    -6.058     7.569    0.095
 16366.340   26.00000   6.360  -0.555    32.50    -5.702     7.675    0.201
 16377.391   26.00000   6.370  -0.484    21.00    -5.892     7.406   -0.068
 16384.144   26.00000   6.360  -0.385    22.20    -5.868     7.324   -0.150
 16394.392   26.00000   5.960   0.026    90.80    -5.257     7.321   -0.153
 16404.620   26.00000   6.360   0.128    85.60    -5.282     7.491    0.017
 16412.971   26.00000   6.290  -0.438    18.40    -5.950     7.233   -0.241
 16436.624   26.00000   5.920  -0.508    62.40    -5.421     7.607    0.133
 16440.397   26.00000   6.290  -0.367    52.70    -5.494     7.671    0.197
 16444.819   26.00000   5.830   0.223   162.00    -5.007     7.430   -0.045
 16466.924   26.00000   6.390   0.007    59.60    -5.441     7.439   -0.035
 16474.080   26.00000   6.020  -0.566    33.40    -5.693     7.423   -0.051
 16521.514   26.00000   6.290  -0.672    17.30    -5.980     7.440   -0.034
 16522.077   26.00000   6.290  -0.193    60.50    -5.436     7.570    0.096
 16524.469   26.00000   6.340   0.314   116.20    -5.153     7.473   -0.002
 16539.196   26.00000   6.340  -0.332    37.70    -5.642     7.508    0.033
 16541.965   26.00000   6.340  -0.590    40.10    -5.615     7.796    0.322
 16544.670   26.00000   6.340  -0.301    31.70    -5.718     7.392   -0.082
 16551.997   26.00000   6.410  -0.082    48.70    -5.531     7.441   -0.033
 16559.680   26.00000   6.400  -0.309    23.10    -5.855     7.300   -0.174
 16586.051   26.00000   5.620  -1.516    11.70    -6.152     7.549    0.075
 16607.637   26.00000   6.340  -0.566    16.20    -6.011     7.344   -0.130
 16612.764   26.00000   6.400  -0.107    50.70    -5.515     7.477    0.003
 16645.877   26.00000   5.960  -0.272    59.50    -5.447     7.378   -0.096
 16720.730   26.00000   6.380  -0.578    12.90    -6.113     7.287   -0.187
 16721.465   26.00000   6.380  -0.479    21.00    -5.901     7.411   -0.063
 16724.688   26.00000   6.380  -0.859    13.30    -6.100     7.582    0.108
 16753.068   26.00000   6.380   0.036    57.70    -5.463     7.388   -0.086
 16786.588   26.00000   6.350  -1.199     3.30    -6.706     7.279   -0.195
 16792.227   26.00000   6.350  -1.152     8.10    -6.317     7.628    0.154
 16794.210   26.00000   6.570  -0.578    13.80    -6.085     7.473   -0.001
 16799.651   26.00000   5.870  -0.672    30.10    -5.747     7.356   -0.118
 16833.055   26.00000   5.960  -1.223    13.20    -6.106     7.596    0.122
 16843.231   26.00000   5.870  -1.410    13.20    -6.106     7.708    0.234
 16865.516   26.00000   6.410  -1.281     8.30    -6.308     7.819    0.344
 16895.200   26.00000   6.350  -1.023    15.10    -6.049     7.779    0.305
 17009.020   26.00000   6.620  -0.367    26.60    -5.806     7.604    0.130
 17037.790   26.00000   6.390  -0.520    29.20    -5.766     7.616    0.142
 17130.956   26.00000   6.350  -0.684    20.60    -5.920     7.586    0.112
 17161.106   26.00000   6.020  -0.244    50.10    -5.535     7.310   -0.164
 17204.301   26.00000   6.020  -0.170    55.90    -5.488     7.294   -0.180
 17282.294   26.00000   6.430  -0.193    73.50    -5.371     7.788    0.314
 17293.116   26.00000   6.320  -0.789    19.10    -5.957     7.632    0.158
 17293.645   26.00000   6.320  -0.684    18.80    -5.964     7.520    0.046
 17433.639   26.00000   6.410  -0.484    23.30    -5.874     7.495    0.021
 17453.843   26.00000   6.410  -0.684    18.90    -5.965     7.597    0.123
 17683.920   26.00000   6.340  -0.058    66.90    -5.422     7.536    0.062
 17728.101   26.00000   6.580   0.063    63.10    -5.449     7.569    0.095
 20363.272   26.00000   6.070  -0.625    11.80    -6.237     7.062   -0.412
 21735.462   26.00000   6.170  -0.801    15.80    -6.139     7.465   -0.009
 21813.977   26.00000   5.850  -1.691    10.10    -6.334     7.880    0.406
 21816.566   26.00000   6.780  -0.543    11.90    -6.263     7.591    0.117
 21832.980   26.00000   6.780  -0.355    13.90    -6.196     7.472   -0.002
 21851.381   26.00000   3.640  -3.590     5.00    -6.641     7.541    0.067
 22257.107   26.00000   5.060  -0.871   109.30    -5.309     7.621    0.147
 22380.797   26.00000   5.030  -0.684   107.80    -5.317     7.400   -0.074
 22392.879   26.00000   5.100  -1.352    32.90    -5.833     7.452   -0.022
