HD12345   5395  29 4.44 0.04 0.69 0.06 -0.21 0.02 260 32 0.812 4.53  0.500 0.044 5.64 no
HD12387   5700  18 4.39 0.05 0.93 0.03 -0.24 0.01 260 34 0.865 4.28  1.172 0.026 4.65 no
HD12617   4890  91 4.46 0.18 0.75 0.31  0.10 0.07 254 34 0.749 4.61  0.262 0.032 6.53 no
HD13060   5255  45 4.34 0.09 0.82 0.08  0.02 0.03 257 34 0.863 4.58  0.426 0.030 5.86 no
HD13724   5868  27 4.52 0.03 1.02 0.03  0.23 0.02 255 34 1.103 4.47  1.085 0.032 4.70 no
HD13789   4740  71 4.33 0.17 0.79 0.26 -0.06 0.06 253 32 0.000     i 0.232 0.023 6.75 no
HD13808   5087  41 4.40 0.08 0.77 0.09 -0.20 0.03 251 34 0.699 4.50  0.368 0.020 6.08 no
HD14374   5425  24 4.48 0.04 0.81 0.04 -0.04 0.02 252 35 0.860 4.52  0.559 0.038 5.51 no
HD14635   4806  87 4.45 0.20 0.78 0.26 -0.03 0.04 254 33 0.782 4.73  0.190 0.032 6.93 no
HD14680   5011  56 4.46 0.12 0.69 0.15 -0.17 0.03 255 34 0.735 4.61  0.282 0.030 6.38 no
HD14744   4923  51 4.45 0.10 0.44 0.24 -0.13 0.03 255 33 0.629 4.46  0.316 0.049 6.31 no
HD14747   5516  16 4.43 0.02 0.72 0.03 -0.39 0.01 257 33 0.743 4.36  0.734 0.023 5.19 no
HD15337   5179  44 4.39 0.09 0.70 0.10  0.06 0.03 252 36 0.870 4.61  0.379 0.042 6.01 no
HD16141   5806  17 4.19 0.02 1.11 0.01  0.16 0.01 254 34 1.057 4.17  1.988 0.043 4.05 yes
HD16270   4786  92 4.39 0.21 0.84 0.27  0.06 0.04 255 34 0.617 4.53  0.237 0.019 6.70 no
HD16297   5422  22 4.47 0.04 0.80 0.04 -0.01 0.02 249 34 0.844 4.46  0.619 0.037 5.41 no
HD16417   5841  17 4.16 0.02 1.18 0.01  0.13 0.01 259 35 1.211 4.12  2.630 0.014 3.74 no
HD16714   5518  18 4.42 0.03 0.76 0.03 -0.20 0.01 256 34 0.819 4.44  0.674 0.031 5.29 no
HD17051   6227  26 4.53 0.06 1.29 0.03  0.19 0.02 251 35 1.265 4.46  1.622 0.008 4.22 yes
HD17970   5040  48 4.39 0.08 0.29 0.24 -0.45 0.04 261 32 0.480 4.28  0.398 0.020 6.01 no
HD18386   5457  29 4.39 0.05 0.92 0.04  0.14 0.02 258 35 0.998 4.60  0.549 0.040 5.53 no
HD18719   5241  32 4.41 0.06 0.92 0.06 -0.08 0.02 255 33 0.773 4.50  0.457 0.043 5.79 no
HD19034   5477  15 4.40 0.03 0.69 0.03 -0.48 0.01 250 33 0.704 4.38  0.647 0.037 5.34 no
HD19467   5720  10 4.31 0.01 0.96 0.01 -0.14 0.01 251 34 0.906 4.25  1.363 0.025 4.48 no
HD19994   6289  46 4.48 0.05 1.72 0.05  0.24 0.03 246 35 1.369 4.15  3.682 0.015 3.32 yes
HD20003   5494  27 4.41 0.05 0.83 0.04  0.04 0.02 254 36 0.875 4.44  0.722 0.028 5.22 no
HD20407   5866  14 4.50 0.01 1.09 0.02 -0.44 0.01 243 31 0.861 4.41  0.976 0.012 4.82 no
HD20619   5703  13 4.51 0.02 0.92 0.02 -0.22 0.01 250 33 0.892 4.48  0.780 0.021 5.09 no
HD20781   5256  29 4.37 0.05 0.78 0.05 -0.11 0.02 252 34 0.760 4.47  0.491 0.038 5.70 no
HD20782   5774  14 4.37 0.01 1.00 0.01 -0.06 0.01 254 34 0.947 4.32  1.234 0.028 4.58 yes
HD20794   5401  17 4.40 0.03 0.67 0.03 -0.40 0.01 250 33 0.701 4.35  0.656 0.003 5.35 no
HD20807   5866  11 4.52 0.03 1.04 0.01 -0.23 0.01 250 33 0.948 4.46  0.964 0.006 4.83 no
HD21019   5468  13 3.93 0.02 1.05 0.01 -0.45 0.01 251 32 0.819 3.65  4.009 0.027 3.36 no
