#  curve of growth in (loggf logrw) pairs
 -6.936  -7.000
 -6.436  -6.507
 -5.936  -6.030
 -5.436  -5.595
 -4.936  -5.260
 -4.436  -5.064
 -3.936  -4.929
 -3.436  -4.776
 -2.936  -4.634
 -2.436  -4.561
 -1.936  -4.483
 -1.436  -4.354
 -0.936  -4.160
 -0.436  -3.931
  0.064  -3.689
  0.564  -3.443
  1.064  -3.196
  1.564  -2.954
 -6.836  -6.901
 -6.336  -6.410
 -5.836  -5.938
 -5.336  -5.518
 -4.836  -5.210
 -4.336  -5.036
 -3.836  -4.900
 -3.336  -4.727
 -2.836  -4.614
 -2.336  -4.547
 -1.836  -4.463
 -1.336  -4.320
 -0.836  -4.116
 -0.336  -3.883
  0.164  -3.640
  0.664  -3.393
  1.164  -3.147
 -6.736  -6.802
 -6.236  -6.313
 -5.736  -5.848
 -5.236  -5.445
 -4.736  -5.166
 -4.236  -5.009
 -3.736  -4.869
 -3.236  -4.700
 -2.736  -4.596
 -2.236  -4.533
 -1.736  -4.440
 -1.236  -4.283
 -0.736  -4.071
 -0.236  -3.835
  0.264  -3.591
  0.764  -3.344
  1.264  -3.098
 -6.636  -6.703
 -6.136  -6.218
 -5.636  -5.761
 -5.136  -5.377
 -4.636  -5.128
 -4.136  -4.983
 -3.636  -4.838
 -3.136  -4.674
 -2.636  -4.590
 -2.136  -4.518
 -1.636  -4.414
 -1.136  -4.244
 -0.636  -4.025
 -0.136  -3.787
  0.364  -3.542
  0.864  -3.295
  1.364  -3.050
 -6.536  -6.605
 -6.036  -6.123
 -5.536  -5.676
 -5.036  -5.315
 -4.536  -5.094
 -4.036  -4.956
 -3.536  -4.807
 -3.036  -4.650
 -2.536  -4.575
 -2.036  -4.501
 -1.536  -4.386
 -1.036  -4.203
 -0.536  -3.978
 -0.036  -3.738
  0.464  -3.492
  0.964  -3.245
  1.464  -3.002
