ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 5959   log g= 4.59                              vt= 1.55 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  6627.550   26.00000   4.550  -1.479    21.90    -5.481     7.383    0.024
  6646.940   26.00000   2.610  -3.919     7.40    -5.953     7.445    0.086
  6653.860   26.00000   4.150  -2.414     7.80    -5.931     7.423    0.064
  6699.150   26.00000   4.590  -2.110     7.00    -5.981     7.479    0.120
  6703.570   26.00000   2.760  -3.026    33.10    -5.306     7.485    0.126
  6705.110   26.00000   4.610  -1.060    39.60    -5.229     7.377    0.018
  6710.320   26.00000   1.490  -4.818    10.70    -5.797     7.435    0.076
  6713.050   26.00000   4.610  -1.520    13.90    -5.684     7.236   -0.123
  6713.200   26.00000   4.140  -2.445     9.80    -5.836     7.552    0.193
  6713.740   26.00000   4.790  -1.429    10.80    -5.794     7.187   -0.172
  6725.360   26.00000   4.100  -2.191     9.90    -5.832     7.264   -0.095
  6732.070   26.00000   4.580  -2.152     8.80    -5.884     7.618    0.259
  6733.150   26.00000   4.640  -1.433    16.70    -5.606     7.271   -0.088
  6739.520   26.00000   1.560  -4.906     9.60    -5.846     7.537    0.178
  6745.110   26.00000   4.580  -2.098     9.70    -5.842     7.609    0.250
  6745.970   26.00000   4.080  -2.661     6.80    -5.997     7.537    0.178
  6750.160   26.00000   2.420  -2.617    68.00    -4.997     7.343   -0.016
  6752.710   26.00000   4.640  -1.238    30.10    -5.351     7.402    0.043
  6786.860   26.00000   4.190  -1.892    18.40    -5.567     7.361    0.002
  6793.260   26.00000   4.580  -1.909     6.40    -6.026     7.222   -0.137
  6806.850   26.00000   2.730  -3.107    21.90    -5.493     7.285   -0.074
average abundance =  7.359     std. deviation =  0.119     #lines = 202
E.P. correlation:  slope =   0.027  intercept =   7.263  corr. coeff. =   0.260
R.W. correlation:  slope =  -0.135  intercept =   6.652  corr. coeff. =  -0.423
wav. correl.:  slope =   2.427D-05  intercept =   7.220  corr. coeff. =   0.118

Abundance Results for Species Fe II        (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4923.930   26.10000   2.890  -1.548   138.00    -4.552     7.155   -0.196
  5132.670   26.10000   2.810  -4.011    17.90    -5.457     7.271   -0.079
  5197.570   26.10000   3.230  -2.295    85.50    -4.784     7.353    0.002
  5234.630   26.10000   3.220  -2.237    76.90    -4.833     7.119   -0.232
  5256.940   26.10000   2.890  -4.023    30.40    -5.238     7.671    0.321
  5264.810   26.10000   3.230  -3.093    46.00    -5.059     7.382    0.031
  5284.110   26.10000   2.890  -3.132    57.00    -4.967     7.312   -0.038
  5414.070   26.10000   3.220  -3.572    24.30    -5.348     7.378    0.027
  5425.250   26.10000   3.200  -3.236    41.70    -5.114     7.404    0.053
  5525.120   26.10000   3.270  -4.000     9.50    -5.765     7.339   -0.012
