ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 6459   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5441.340   26.00000   4.310  -1.564    26.50    -5.312     7.704   -0.073
  5461.550   26.00000   4.450  -1.577    19.00    -5.459     7.631   -0.147
  5464.280   26.00000   4.140  -1.601    30.20    -5.258     7.686   -0.091
  5466.990   26.00000   3.650  -2.148    28.00    -5.291     7.765   -0.013
  5473.170   26.00000   4.190  -1.994    10.80    -5.705     7.530   -0.247
  5481.250   26.00000   4.100  -1.209    52.80    -5.016     7.727   -0.051
  5491.830   26.00000   4.190  -2.202    10.00    -5.740     7.697   -0.081
  5522.450   26.00000   4.210  -1.425    38.80    -5.153     7.753   -0.024
  5534.660   26.00000   4.150  -2.399     5.60    -5.995     7.581   -0.197
  5543.940   26.00000   4.220  -1.075    57.30    -4.986     7.772   -0.005
  5546.510   26.00000   4.370  -1.130    45.80    -5.083     7.724   -0.053
  5547.000   26.00000   4.220  -1.747    16.50    -5.527     7.526   -0.252
  5553.580   26.00000   4.430  -1.327    33.50    -5.220     7.724   -0.054
  5560.220   26.00000   4.430  -1.070    46.50    -5.078     7.729   -0.049
  5567.400   26.00000   2.610  -2.600    54.00    -5.013     7.882    0.104
  5577.030   26.00000   5.030  -1.493     8.10    -5.838     7.588   -0.189
  5584.770   26.00000   3.570  -2.197    29.30    -5.280     7.771   -0.007
  5587.580   26.00000   4.140  -1.662    30.50    -5.263     7.749   -0.029
  5594.660   26.00000   4.550  -0.864    56.30    -4.997     7.797    0.020
  5618.640   26.00000   4.210  -1.304    43.30    -5.113     7.721   -0.057
  5619.600   26.00000   4.390  -1.442    27.60    -5.309     7.671   -0.107
  5633.950   26.00000   4.990  -0.389    67.50    -4.922     7.800    0.023
  5635.830   26.00000   4.260  -1.562    28.40    -5.298     7.698   -0.080
  5636.700   26.00000   3.640  -2.517    14.20    -5.599     7.716   -0.062
  5638.270   26.00000   4.220  -0.814    70.90    -4.900     7.759   -0.019
