ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 5959   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5522.450   26.00000   4.210  -1.425    38.80    -5.153     7.459    0.031
  5534.660   26.00000   4.150  -2.399     5.60    -5.995     7.306   -0.122
  5543.940   26.00000   4.220  -1.075    57.30    -4.986     7.457    0.028
  5546.510   26.00000   4.370  -1.130    45.80    -5.083     7.433    0.005
  5547.000   26.00000   4.220  -1.747    16.50    -5.527     7.250   -0.178
  5553.580   26.00000   4.430  -1.327    33.50    -5.220     7.450    0.021
  5560.220   26.00000   4.430  -1.070    46.50    -5.078     7.441    0.012
  5567.400   26.00000   2.610  -2.600    54.00    -5.013     7.461    0.032
  5577.030   26.00000   5.030  -1.493     8.10    -5.838     7.374   -0.055
  5584.770   26.00000   3.570  -2.197    29.30    -5.280     7.442    0.013
  5587.580   26.00000   4.140  -1.662    30.50    -5.263     7.458    0.030
  5594.660   26.00000   4.550  -0.864    56.30    -4.997     7.505    0.076
  5618.640   26.00000   4.210  -1.304    43.30    -5.113     7.422   -0.007
  5619.600   26.00000   4.390  -1.442    27.60    -5.309     7.399   -0.030
  5633.950   26.00000   4.990  -0.389    67.50    -4.922     7.529    0.101
  5635.830   26.00000   4.260  -1.562    28.40    -5.298     7.416   -0.012
  5636.700   26.00000   3.640  -2.517    14.20    -5.599     7.400   -0.028
  5638.270   26.00000   4.220  -0.814    70.90    -4.900     7.425   -0.003
  5641.440   26.00000   4.260  -0.974    56.70    -4.998     7.375   -0.053
  5649.990   26.00000   5.100  -0.792    30.00    -5.275     7.418   -0.011
  5651.470   26.00000   4.470  -1.770    14.30    -5.597     7.426   -0.003
  5652.320   26.00000   4.260  -1.757    24.60    -5.361     7.523    0.095
  5653.870   26.00000   4.390  -1.408    30.30    -5.271     7.423   -0.005
  5661.350   26.00000   4.280  -1.834    19.80    -5.456     7.490    0.061
  5662.520   26.00000   4.180  -0.607    77.10    -4.866     7.286   -0.142
  5667.520   26.00000   4.180  -1.298    43.90    -5.111     7.395   -0.033
  5679.030   26.00000   4.650  -0.762    54.90    -5.015     7.455    0.027
  5680.240   26.00000   4.190  -2.337     8.50    -5.825     7.474    0.046
  5701.550   26.00000   2.560  -2.168    70.70    -4.907     7.314   -0.115
  5715.090   26.00000   4.280  -0.852    63.30    -4.956     7.387   -0.042
  5720.900   26.00000   4.550  -1.813    10.80    -5.724     7.396   -0.032
  5731.770   26.00000   4.260  -1.128    47.00    -5.086     7.352   -0.077
  5738.240   26.00000   4.220  -2.171    14.70    -5.591     7.606    0.177
  5741.850   26.00000   4.260  -1.631    25.60    -5.351     7.415   -0.014
  5752.040   26.00000   4.550  -0.922    50.70    -5.055     7.465    0.037
  5852.220   26.00000   4.550  -1.194    33.70    -5.240     7.417   -0.011
  5853.150   26.00000   1.490  -5.146     7.60    -5.887     7.659    0.230
  5855.080   26.00000   4.610  -1.537    12.00    -5.688     7.223   -0.205
  5856.090   26.00000   4.290  -1.579    30.20    -5.288     7.494    0.065
  5862.360   26.00000   4.550  -0.409    81.50    -4.857     7.434    0.006
  5902.480   26.00000   4.590  -1.805    18.30    -5.509     7.693    0.264
  5905.680   26.00000   4.650  -0.780    49.10    -5.080     7.375   -0.053
  5916.260   26.00000   2.450  -2.924    49.10    -5.081     7.507    0.079
  5927.790   26.00000   4.650  -1.062    36.30    -5.213     7.419   -0.009
  5929.680   26.00000   4.550  -1.217    42.70    -5.143     7.607    0.179
  5930.190   26.00000   4.650  -0.331    72.50    -4.913     7.297   -0.132
  5934.660   26.00000   3.930  -1.095    69.40    -4.932     7.429    0.000
  5956.700   26.00000   0.860  -4.532    33.70    -5.247     7.251   -0.177
  5983.690   26.00000   4.550  -0.724    58.20    -5.012     7.388   -0.040
  5984.820   26.00000   4.730  -0.340    73.10    -4.913     7.380   -0.049
  5987.070   26.00000   4.790  -0.482    61.10    -4.991     7.387   -0.042
  6005.550   26.00000   2.590  -3.487    16.10    -5.572     7.426   -0.003
  6024.060   26.00000   4.550  -0.129    98.10    -4.788     7.370   -0.058
  6034.040   26.00000   4.310  -2.314     5.50    -6.040     7.341   -0.087
  6035.340   26.00000   4.290  -2.484     3.80    -6.201     7.323   -0.106
  6054.080   26.00000   4.370  -2.245     4.50    -6.129     7.235   -0.193
  6056.010   26.00000   4.730  -0.493    64.00    -4.976     7.395   -0.034
  6078.490   26.00000   4.790  -0.369    59.90    -5.006     7.250   -0.179
  6079.010   26.00000   4.650  -1.012    53.70    -5.054     7.677    0.249
  6082.720   26.00000   2.220  -3.574    18.10    -5.526     7.217   -0.211
  6094.380   26.00000   4.650  -1.574    14.60    -5.621     7.389   -0.040
  6096.670   26.00000   3.980  -1.782    31.10    -5.292     7.423   -0.006
  6098.250   26.00000   4.560  -1.763    12.30    -5.695     7.407   -0.021
  6120.250   26.00000   0.920  -5.902     2.80    -6.340     7.382   -0.047
  6127.910   26.00000   4.140  -1.421    38.90    -5.197     7.369   -0.059
  6151.620   26.00000   2.180  -3.302    41.20    -5.174     7.449    0.020
  6157.730   26.00000   4.080  -1.242    62.70    -4.992     7.571    0.142
  6159.380   26.00000   4.610  -1.886    11.40    -5.733     7.536    0.108
  6165.360   26.00000   4.140  -1.508    37.80    -5.212     7.432    0.003
  6173.340   26.00000   2.220  -2.881    61.20    -5.004     7.473    0.044
  6180.210   26.00000   2.730  -2.636    45.40    -5.134     7.393   -0.036
  6187.990   26.00000   3.940  -1.626    38.20    -5.209     7.370   -0.058
  6200.320   26.00000   2.610  -2.401    65.40    -4.977     7.448    0.020
  6213.440   26.00000   2.220  -2.584    67.30    -4.965     7.298   -0.130
  6219.290   26.00000   2.200  -2.468    79.50    -4.893     7.407   -0.022
