ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  15648.51      5.43    -0.730      63.0     -5.40      7.63       -0.05
  15652.87      6.25    -0.170      49.0     -5.50      7.59       -0.09
  15662.02      5.83     0.097     111.1     -5.15      7.53       -0.15
  15670.13      6.21    -1.070      17.2     -5.96      7.93        0.24
  15671.87      5.92    -1.340       5.5     -6.45      7.44       -0.24
  15682.52      6.37    -0.520      35.3     -5.65      7.86        0.18
  15691.85      6.25     0.136     152.4     -5.01      8.09        0.41
  15816.63      5.96    -0.766     105.7     -5.18      8.45        0.76
  15819.13      6.30    -0.178     164.9     -4.98      8.51        0.82
  15821.71      5.64    -0.941      61.6     -5.41      7.99        0.31
  15835.17      6.30     0.376     128.0     -5.09      7.72        0.03
  15845.22      5.98    -1.223       9.5     -6.22      7.61       -0.07
  15863.71      6.26    -0.058      61.1     -5.41      7.61       -0.08
  15864.65      6.36    -0.965      20.1     -5.90      8.01        0.33
  15878.44      5.62    -0.648      65.5     -5.38      7.72        0.03
  15891.16      6.31    -0.555      17.1     -5.97      7.48       -0.20
  15901.52      5.92    -0.566      37.4     -5.63      7.57       -0.12
  15906.04      5.62    -0.201     100.3     -5.20      7.56       -0.12
  15911.31      5.87    -0.178      79.9     -5.30      7.58       -0.10
  15928.16      5.95    -0.859      18.6     -5.93      7.53       -0.15
  15929.48      6.31    -0.613      18.7     -5.93      7.58       -0.10
  15934.02      6.31    -0.438      29.4     -5.73      7.63       -0.06
  15940.92      5.81    -1.234       6.2     -6.41      7.29       -0.40
  15941.85      6.36    -0.127      61.0     -5.42      7.75        0.06
  15964.87      5.92    -0.178      78.8     -5.31      7.61       -0.08
  15980.73      6.26     0.520     168.9     -4.98      7.80        0.11
  16037.82      6.26    -0.120      56.1     -5.46      7.61       -0.07
  16040.66      5.87     0.054     115.1     -5.14      7.61       -0.07
  16071.40      6.27    -0.120      75.5     -5.33      7.80        0.11
  16072.24      6.35    -0.508      29.2     -5.74      7.72        0.04
  16100.28      6.35    -0.148      39.6     -5.61      7.52       -0.17
  16156.56      5.96    -0.590      35.1     -5.66      7.58       -0.11
