ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  15631.95      5.35    -0.170     128.4     -5.09      7.54       -0.03
  15648.51      5.43    -0.730      53.8     -5.46      7.54       -0.03
  15652.87      6.25    -0.170      43.7     -5.55      7.53       -0.04
  15662.02      5.83     0.097     106.4     -5.17      7.50       -0.07
  15670.13      6.21    -1.070      16.8     -5.97      7.92        0.35
  15671.87      5.92    -1.340       5.4     -6.46      7.43       -0.14
  15682.52      6.37    -0.520      34.0     -5.66      7.84        0.27
  15691.85      6.25     0.136     142.2     -5.04      8.03        0.46
  15816.63      5.96    -0.766      97.3     -5.21      8.39        0.81
  15819.13      6.30    -0.178     146.3     -5.03      8.39        0.82
  15821.71      5.64    -0.941      56.4     -5.45      7.94        0.37
  15835.17      6.30     0.376     122.0     -5.11      7.68        0.11
  15845.22      5.98    -1.223       6.6     -6.38      7.45       -0.12
  15863.71      6.26    -0.058      58.8     -5.43      7.58        0.01
  15864.65      6.36    -0.965      17.1     -5.97      7.94        0.37
  15878.44      5.62    -0.648      54.8     -5.46      7.61        0.04
  15891.16      6.31    -0.555      15.4     -6.01      7.44       -0.14
  15901.52      5.92    -0.566      31.2     -5.71      7.47       -0.10
  15906.04      5.62    -0.201      88.4     -5.26      7.47       -0.10
  15911.31      5.87    -0.178      73.6     -5.33      7.53       -0.04
  15928.16      5.95    -0.859      17.8     -5.95      7.51       -0.06
  15929.48      6.31    -0.613      17.0     -5.97      7.54       -0.03
  15934.02      6.31    -0.438      27.8     -5.76      7.60        0.03
  15940.92      5.81    -1.234       6.1     -6.42      7.28       -0.29
  15941.85      6.36    -0.127      45.0     -5.55      7.58        0.01
  15964.87      5.92    -0.178      61.6     -5.41      7.45       -0.12
