linelist			teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	convergence
WASP-95_outlier.moog               	5829	38	4.27	0.06	0.25	0.03	1.10	0.05	True
HIP105854_outlier_outlier.moog     	4675	82	2.70	0.15	0.27	0.06	1.48	0.10	True
HIP116454_outlier_outlier.moog     	4985	44	4.42	0.11	-0.17	0.02	0.49	0.14	True
HIP67851_outlier_outlier.moog      	4878	42	3.24	0.08	0.03	0.03	1.13	0.05	True
WASP-108_out_outlier.moog          	6202	29	4.54	0.06	0.22	0.02	1.35	0.03	True
WASP-109_out.moog                  	6752	87	4.96	0.27	-0.52	0.08	1.52	0.03	False
WASP-49_out_outlier.moog           	5532	19	4.29	0.03	-0.1	0.02	0.83	0.03	True
WASP-70A_out_outlier.moog          	5892	25	4.42	0.05	0.21	0.02	1.10	0.03	True
WASP-94A_outlier.moog              	6225	24	4.31	0.04	0.34	0.02	1.45	0.03	True
WASP-94B_out_outlier.moog          	6136	19	4.41	0.05	0.32	0.01	1.33	0.02	True
Aldebaran_out.moog                 	5433	220	4.68	0.26	0.21	0.12	3.44	0.53	True
Gl785_out_outlier_outlier.moog     	5079	48	4.33	0.10	-0.02	0.03	0.63	0.10	True
HD120084_out_outlier_outlier.moog  	4955	37	2.90	0.11	0.11	0.03	1.41	0.04	True
HD192263_outlier_outlier.moog      	4922	48	4.35	0.13	-0.07	0.02	0.66	0.12	True
HD219134_outlier_outlier.moog      	4794	72	4.34	0.21	0.03	0.06	0.23	0.52	True
HD233604NOT_rv_outlier_outlier.moog	4951	44	2.82	0.09	-0.18	0.04	1.70	0.05	True
HD81688NOT_rv_outlier.moog         	4890	27	2.62	0.07	-0.24	0.02	1.58	0.03	True
omeSer_outlier_outlier.moog        	4842	39	2.36	0.13	-0.04	0.03	1.23	0.02	True
betaCnc_outlier_outlier.moog       	4092	103	1.12	0.29	-0.16	0.04	1.61	0.04	True
HD207229_out_outlier_outlier.moog  	4859	51	2.43	0.24	0.08	0.04	1.22	0.03	True
HD81688_out_outlier.moog           	4774	40	2.10	0.09	-0.26	0.04	1.26	0.02	True
HD82886NOT_rv_outlier.moog         	5552	80	4.42	0.17	-0.34	0.06	0.87	0.01	True
omiUma_out_outlier_outlier.moog    	5115	59	2.10	0.23	-0.05	0.05	1.09	0.01	True
HD114762_rv_outlier.moog           	6163	49	4.86	0.15	-0.85	0.03	1.14	0.02	False
HD283668_rv_outlier.moog           	5879	5246	5.0	9.71	-0.74	3.93	0.90	0.04	False
HD70573_final_rv_outlier.moog      	5964	183	4.67	0.37	-0.37	0.14	1.07	0.01	True
HD77065_rv_outlier.moog            	5467	61	5.00	0.12	-0.33	0.04	0.61	0.01	False
HD82886_rv_outlier.moog            	5552	84	4.43	0.18	-0.34	0.06	0.87	0.01	True
WASP-100_rv2_outlier.moog          	7028	444	4.94	0.21	-0.24	0.27	5.20	3.73	True
WASP-33_out.moog                   	8096	225	5.00	0.42	0.07	0.51	2.44	0.19	False
